sequence_name	coding_score	classification
XR_003953878.1	0.14940	noncoding
XR_003952274.1	0.06881	noncoding
XR_003949026.1	0.20237	noncoding
XR_003951136.1	0.04033	noncoding
XR_003948969.1	0.03738	noncoding
XR_003947796.1	0.18119	noncoding
XR_003951498.1	0.07902	noncoding
XR_003953876.1	0.02095	noncoding
XR_001784458.2	0.34355	noncoding
XR_001783418.2	0.13237	noncoding
XR_003948968.1	0.40225	noncoding
XR_001782487.2	0.13952	noncoding
XR_001782160.2	0.43687	noncoding
XR_871019.1	0.05302	noncoding
XR_003947799.1	0.10074	noncoding
XR_001783355.2	0.04163	noncoding
XR_869111.3	0.07562	noncoding
XR_001783361.2	0.04193	noncoding
XR_003951138.1	0.03963	noncoding
XR_877915.3	0.21183	noncoding
XR_001783417.2	0.23308	noncoding
XR_001783357.2	0.04192	noncoding
XR_003947491.1	0.01653	noncoding
NM_001004182.4	0.65957	coding
XR_881157.1	0.47936	noncoding
XR_377280.3	0.06616	noncoding
XR_376934.4	0.03379	noncoding
XM_006535097.4	0.10046	noncoding
XR_003954665.1	0.03826	noncoding
XM_017315473.2	0.74570	coding
XR_003947874.1	0.00669	noncoding
XR_001778719.2	0.33817	noncoding
XR_003953097.1	0.23332	noncoding
XR_001783358.2	0.04206	noncoding
XR_003949010.1	0.01557	noncoding
XR_001783368.2	0.25852	noncoding
XR_001783359.2	0.04181	noncoding
XR_003954666.1	0.03849	noncoding
XR_877703.3	0.07248	noncoding
XR_001779361.2	0.07604	noncoding
XR_880056.2	0.05174	noncoding
XR_001783363.2	0.04180	noncoding
XR_001783370.2	0.04176	noncoding
XR_383701.4	0.05339	noncoding
XR_003954521.1	0.23241	noncoding
XR_001783421.2	0.19373	noncoding
XR_003951479.1	0.15522	noncoding
XR_003954522.1	0.29601	noncoding
XR_003950525.1	0.05369	noncoding
XR_003951477.1	0.15537	noncoding
XR_003948727.1	0.07825	noncoding
XR_001783372.2	0.04186	noncoding
XR_874613.3	0.18687	noncoding
XR_003953889.1	0.04684	noncoding
XR_001783360.2	0.04130	noncoding
XR_003955255.1	0.17131	noncoding
XR_001784764.2	0.37400	noncoding
XR_877228.3	0.16340	noncoding
XR_001784911.1	0.21333	noncoding
XR_001785022.1	0.08736	noncoding
XR_003954489.1	0.09804	noncoding
XR_001783420.2	0.03101	noncoding
XR_003950526.1	0.07896	noncoding
XR_003954523.1	0.23021	noncoding
XR_878158.3	0.15227	noncoding
XR_866464.3	0.04136	noncoding
XR_001783362.2	0.04161	noncoding
XR_003956370.1	0.04443	noncoding
XR_003953323.1	0.04443	noncoding
XR_001783364.2	0.04136	noncoding
XR_001783290.2	0.04892	noncoding
XR_001781958.2	0.08443	noncoding
XR_390442.2	0.47924	noncoding
XR_003951180.1	0.07515	noncoding
XR_866174.2	0.03812	noncoding
XR_003946834.1	0.15063	noncoding
XR_003951478.1	0.15261	noncoding
XR_003951179.1	0.05371	noncoding
XR_001783371.2	0.09422	noncoding
XR_881159.1	0.47950	noncoding
XR_865385.2	0.24068	noncoding
XR_001779090.2	0.01554	noncoding
XR_001781965.2	0.13108	noncoding
XR_003950160.1	0.27755	noncoding
XR_003946849.1	0.07205	noncoding
XR_872487.1	0.17773	noncoding
XR_003946831.1	0.06876	noncoding
XR_003951125.1	0.17969	noncoding
XR_003951499.1	0.15887	noncoding
XR_865940.3	0.08154	noncoding
XR_003951854.1	0.02946	noncoding
XR_872486.1	0.17105	noncoding
XR_001783373.2	0.04138	noncoding
XR_385587.4	0.26412	noncoding
XR_003951873.1	0.05206	noncoding
XR_003948348.1	0.11254	noncoding
XR_881160.1	0.48073	noncoding
XR_001778233.2	0.19953	noncoding
XR_003952250.1	0.02684	noncoding
XR_003952632.1	0.02325	noncoding
XR_001782843.2	0.12060	noncoding
XR_877212.2	0.08448	noncoding
XR_001781967.2	0.13085	noncoding
XR_003947544.1	0.03613	noncoding
XR_385024.3	0.05143	noncoding
XR_872484.1	0.04960	noncoding
XR_003955263.1	0.05999	noncoding
XR_003951225.1	0.03865	noncoding
XR_866463.1	0.03971	noncoding
XR_001783366.1	0.03947	noncoding
XR_003948083.1	0.13288	noncoding
XR_003948349.1	0.11176	noncoding
XR_003953120.1	0.08122	noncoding
XR_003952590.1	0.15187	noncoding
XR_877240.3	0.06094	noncoding
XR_001780704.2	0.17599	noncoding
XR_872489.1	0.66487	coding
XR_001783485.2	0.07512	noncoding
NM_001287817.1	0.45034	noncoding
XR_003956472.1	0.42789	noncoding
XR_873152.2	0.33812	noncoding
XR_003956271.1	0.11671	noncoding
XR_869220.1	0.21184	noncoding
XR_388615.4	0.08946	noncoding
XR_879825.3	0.08945	noncoding
XR_003953400.1	0.40435	noncoding
XR_003955120.1	0.37446	noncoding
XR_003953517.1	0.37446	noncoding
XR_001779170.2	0.15765	noncoding
XR_869290.3	0.18386	noncoding
XR_877637.1	0.35727	noncoding
XR_003954664.1	0.04047	noncoding
XR_875323.1	0.13145	noncoding
XR_869948.3	0.38452	noncoding
XR_003949683.1	0.20258	noncoding
XR_003955821.1	0.08765	noncoding
XR_385146.4	0.11668	noncoding
XR_003947471.1	0.07393	noncoding
XR_003948162.1	0.15575	noncoding
XR_003955076.1	0.50555	coding
XR_001779171.2	0.15526	noncoding
XR_003954482.1	0.02932	noncoding
XR_873362.1	0.42332	noncoding
XR_003954480.1	0.03178	noncoding
XR_003950137.1	0.13251	noncoding
XR_003953856.1	0.04207	noncoding
XR_867791.2	0.07622	noncoding
XR_001785454.2	0.26759	noncoding
XR_003946836.1	0.18994	noncoding
XR_379375.4	0.15276	noncoding
NR_003718.2	0.13982	noncoding
XR_003946837.1	0.21413	noncoding
XR_003952897.1	0.40505	noncoding
NR_149737.1	0.94019	coding
XR_868803.3	0.18975	noncoding
XR_003947745.1	0.34803	noncoding
XR_003946704.1	0.14113	noncoding
XR_001781972.2	0.03410	noncoding
XR_003949839.1	0.39167	noncoding
XR_868210.3	0.19441	noncoding
XR_003952599.1	0.36286	noncoding
XR_003954600.1	0.23485	noncoding
XR_003949867.1	0.28751	noncoding
XR_003951189.1	0.05800	noncoding
XR_868802.3	0.19134	noncoding
XR_378761.4	0.02796	noncoding
XR_872254.2	0.02475	noncoding
XR_383623.4	0.12759	noncoding
XR_003948350.1	0.14743	noncoding
XR_003949851.1	0.03840	noncoding
XR_003948323.1	0.17382	noncoding
XR_003955077.1	0.47729	noncoding
XR_003956454.1	0.02335	noncoding
XR_003955819.1	0.08764	noncoding
XR_374264.4	0.27202	noncoding
XR_003948947.1	0.30976	noncoding
XR_003955870.1	0.38898	noncoding
XR_869492.3	0.02942	noncoding
XR_003956535.1	0.05111	noncoding
XR_003948090.1	0.21222	noncoding
XR_867949.2	0.27226	noncoding
XR_872603.2	0.19867	noncoding
XR_003949850.1	0.03839	noncoding
XR_001784247.2	0.12081	noncoding
XR_003956515.1	0.07820	noncoding
XR_001782471.1	0.22399	noncoding
XR_878739.2	0.04358	noncoding
XR_870172.3	0.02738	noncoding
XR_003946835.1	0.08558	noncoding
XR_388150.3	0.11666	noncoding
XR_003954484.1	0.11704	noncoding
XR_001778030.2	0.57986	coding
XR_003951176.1	0.02078	noncoding
XR_003954481.1	0.05717	noncoding
XR_866173.2	0.05448	noncoding
XR_386238.4	0.20813	noncoding
XR_001781770.2	0.14968	noncoding
XR_003949747.1	0.14192	noncoding
XR_003948163.1	0.15406	noncoding
XR_866168.2	0.17226	noncoding
XR_001778556.2	0.06400	noncoding
XR_001779172.2	0.09859	noncoding
XR_878738.2	0.04253	noncoding
XM_030255356.1	0.95296	coding
XR_001779241.2	0.05823	noncoding
XR_383896.4	0.15012	noncoding
XR_865941.3	0.07904	noncoding
XR_001783291.2	0.35803	noncoding
XR_001783292.2	0.28992	noncoding
XR_003948412.1	0.17620	noncoding
XM_011241328.3	0.60301	coding
XR_874901.3	0.00888	noncoding
XR_880064.2	0.04798	noncoding
XR_877072.3	0.24712	noncoding
XR_381224.4	0.10162	noncoding
XR_003946797.1	0.01915	noncoding
XR_003951959.1	0.36851	noncoding
XR_001784043.2	0.26061	noncoding
XR_374339.4	0.26158	noncoding
XR_872979.2	0.42881	noncoding
XR_870922.2	0.07338	noncoding
XR_003954483.1	0.19224	noncoding
XR_003956473.1	0.48609	noncoding
XR_003953786.1	0.21567	noncoding
XR_875061.2	0.13583	noncoding
XR_003953787.1	0.22231	noncoding
XR_867925.3	0.44188	noncoding
XR_872481.1	0.04806	noncoding
XR_001782712.1	0.36800	noncoding
XR_882235.3	0.03681	noncoding
XR_385480.3	0.10750	noncoding
XR_380550.4	0.21856	noncoding
XR_003950136.1	0.06607	noncoding
XR_001782685.2	0.04764	noncoding
XR_870434.2	0.01344	noncoding
XR_003954601.1	0.23628	noncoding
XR_003946706.1	0.25134	noncoding
XR_003946736.1	0.02461	noncoding
XR_003948324.1	0.16756	noncoding
XR_003955820.1	0.08645	noncoding
XR_869113.3	0.09870	noncoding
XR_003947504.1	0.00951	noncoding
XR_879828.1	0.13855	noncoding
XR_003948863.1	0.32519	noncoding
XR_003946711.1	0.14523	noncoding
XR_003949028.1	0.08769	noncoding
XR_866144.2	0.16103	noncoding
XR_001784353.2	0.47090	noncoding
XR_003946707.1	0.04305	noncoding
XR_871020.3	0.24274	noncoding
XR_003946715.1	0.28636	noncoding
NR_166692.1	0.07993	noncoding
XR_866171.2	0.03697	noncoding
XR_881932.3	0.74967	coding
XR_003954687.1	0.04646	noncoding
XR_003955228.1	0.05652	noncoding
XR_003949793.1	0.08984	noncoding
XR_881933.3	0.74788	coding
XR_001779748.2	0.16638	noncoding
XR_381601.4	0.05021	noncoding
XR_003948327.1	0.16585	noncoding
XR_872012.2	0.04197	noncoding
XR_001784354.2	0.47554	noncoding
XR_003955931.1	0.55005	coding
XR_382711.3	0.04633	noncoding
XR_001782690.2	0.03393	noncoding
XR_866146.3	0.16218	noncoding
NR_027799.1	0.62839	coding
NR_033299.1	0.12959	noncoding
XR_003948328.1	0.16791	noncoding
XR_381564.3	0.43421	noncoding
XR_001782689.2	0.03805	noncoding
XR_868863.3	0.19914	noncoding
XR_001782692.2	0.04057	noncoding
XR_873365.1	0.41227	noncoding
XR_003948190.1	0.05734	noncoding
XR_001779173.2	0.15557	noncoding
XR_867743.3	0.09579	noncoding
XR_003953890.1	0.10867	noncoding
XR_867923.3	0.46072	noncoding
XR_376240.2	0.52202	coding
XR_001779121.2	0.13834	noncoding
XR_003948164.1	0.17694	noncoding
XR_876890.2	0.16876	noncoding
XM_017315533.2	0.42958	noncoding
NR_015526.2	0.41841	noncoding
XR_001783519.2	0.01703	noncoding
XR_875453.3	0.23497	noncoding
XR_377680.3	0.15006	noncoding
XR_381280.4	0.09658	noncoding
XR_875452.2	0.23340	noncoding
XR_879310.2	0.14494	noncoding
XR_384375.4	0.02289	noncoding
XM_030245435.1	0.45972	noncoding
XR_003951024.1	0.10350	noncoding
XR_003948329.1	0.16123	noncoding
XR_877177.3	0.12232	noncoding
NM_001287818.1	0.39070	noncoding
XR_003947744.1	0.03150	noncoding
XR_003954683.1	0.20026	noncoding
XR_001782688.2	0.02689	noncoding
XR_377374.4	0.19495	noncoding
XR_003951874.1	0.07058	noncoding
XR_386702.4	0.12476	noncoding
XR_001784359.2	0.50869	coding
XR_865570.2	0.02446	noncoding
XR_377214.3	0.13371	noncoding
XR_874990.1	0.15772	noncoding
XR_867928.3	0.42053	noncoding
XR_868211.3	0.31841	noncoding
XR_001783431.2	0.03384	noncoding
XR_003948325.1	0.16551	noncoding
XR_003950138.1	0.03743	noncoding
XR_871022.1	0.06837	noncoding
XR_003947627.1	0.05828	noncoding
XR_003951109.1	0.05940	noncoding
XR_003950505.1	0.11460	noncoding
XR_003950139.1	0.26318	noncoding
XR_003953785.1	0.06208	noncoding
XR_378488.3	0.10385	noncoding
XR_388237.4	0.02225	noncoding
XR_003947629.1	0.04376	noncoding
XR_869288.3	0.29952	noncoding
XR_003948733.1	0.13715	noncoding
XR_386424.3	0.01373	noncoding
XR_377215.3	0.13276	noncoding
XR_003947624.1	0.02693	noncoding
XR_003954510.1	0.36244	noncoding
XR_003946705.1	0.09291	noncoding
XR_877632.2	0.03838	noncoding
XR_003951888.1	0.13370	noncoding
XR_001782686.2	0.02332	noncoding
XR_003947628.1	0.07325	noncoding
XR_872605.2	0.00427	noncoding
XR_879387.3	0.02215	noncoding
XR_001782516.1	0.53527	coding
XR_003950141.1	0.11417	noncoding
NR_165797.1	0.18222	noncoding
XR_385413.4	0.42040	noncoding
XR_869356.3	0.10679	noncoding
XR_869949.3	0.53239	coding
XR_385410.4	0.41867	noncoding
XR_003947625.1	0.03985	noncoding
XR_385411.4	0.41969	noncoding
XR_872845.3	0.14316	noncoding
XR_003947435.1	0.13105	noncoding
XR_003955261.1	0.05580	noncoding
XR_003948170.1	0.33924	noncoding
XR_003948301.1	0.10685	noncoding
XR_877949.3	0.13511	noncoding
XR_003955835.1	0.13385	noncoding
XR_003947626.1	0.03540	noncoding
XR_003953443.1	0.14680	noncoding
XR_003953445.1	0.04115	noncoding
XR_877227.1	0.25942	noncoding
XR_003948302.1	0.10599	noncoding
