gene-id	Brain_Female	Gonad_Female	Kidney_Female	Liver_Female	Lung_Female	Muscle_Female	Skin_Female	Brain_Male	Gonad_Male	Heart_Male	Kidney_Male	Liver_Male	Lung_Male	Skin_Male
Transcript_100162.0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
Transcript_100163.0	0	16	0	0	0	0	0	0	0	0	0	0	0	1
Transcript_100164.0	10	0	14	0	0	0	0	7	36	0	0	0	0	0
Transcript_100171.0	0	2	0	0	0	2	0	0	9	0	0	0	3	2
Transcript_100175.0	9	9	0	0	0	0	0	0	0	3	0	0	0	0
Transcript_100176.0	0	0	8	0	5	11	0	3	0	3	4	0	1	0
Transcript_100178.0	9	6	0	0	0	3	0	1	15	7	1	0	3	1
Transcript_100183.0	2	7	0	0	0	0	0	10	0	0	0	0	0	0
Transcript_100184.0	0	14	0	0	0	0	0	0	0	0	0	0	0	2
Transcript_100185.0	9	0	0	0	0	0	0	0	1	1	4	0	5	1
Transcript_100187.0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100188.0	6	3	0	0	4	0	0	0	0	0	2	0	3	0
Transcript_100189.0	5	3	0	0	0	0	0	0	1	0	0	0	0	0
Transcript_100192.0	0	3	0	0	0	4	0	4	3	3	0	0	1	0
Transcript_100196.0	0	27	0	0	73	0	0	5	0	11	0	0	29	0
Transcript_100197.0	0	5	0	0	0	0	0	3	0	0	0	0	2	0
Transcript_100202.0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100203.0	0	1	0	0	0	1	0	2	0	1	0	0	0	0
Transcript_100205.0	87	0	0	0	2	0	0	12	0	0	0	0	0	0
Transcript_100209.0	0	0	2	0	12	0	0	0	0	0	7	0	7	0
Transcript_100210.0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100211.0	19	9	0	0	0	0	0	4	0	0	4	0	0	0
Transcript_100213.0	11	0	0	0	3	5	0	5	0	10	4	0	0	0
Transcript_100214.0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
Transcript_100218.0	0	0	5	0	0	1	0	0	0	0	6	0	0	0
Transcript_100223.0	0	0	1	0	6	0	0	0	0	0	0	0	2	0
Transcript_100225.0	21	1	1	0	0	0	0	1	0	0	0	0	0	0
Transcript_100228.0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
Transcript_100230.0	2	1	3	0	1	0	0	1	0	0	7	0	12	2
Transcript_100235.0	2	2	6	2	0	1	2	1	7	2	3	2	2	0
Transcript_100236.0	0	7	0	0	0	0	0	0	0	0	1	0	0	0
Transcript_100237.0	0	0	0	0	7	0	0	6	6	0	0	0	0	0
Transcript_100240.0	29	6	0	0	2	0	0	0	0	1	0	0	0	0
Transcript_100242.0	15	0	0	0	0	0	0	3	0	0	0	0	2	0
Transcript_100243.0	0	0	11	0	7	9	0	6	0	0	5	0	0	0
Transcript_100244.0	3	1	0	0	0	0	0	7	0	0	1	0	0	0
Transcript_100245.0	4	0	0	0	0	0	0	4	0	0	0	0	0	0
Transcript_100246.0	0	0	0	0	0	2	0	12	0	0	0	0	0	0
Transcript_100251.0	2	0	4	0	0	0	0	2	0	0	0	0	0	0
Transcript_100257.0	63	87	4	0	2	19	0	7	14	10	6	2	14	0
Transcript_100260.0	55	10	5	1	0	4	0	1	5	0	1	0	2	0
Transcript_100261.0	6	0	0	0	0	0	0	0	0	0	0	0	3	0
Transcript_100265.0	1	1	0	0	0	0	0	23	0	0	0	0	0	0
Transcript_100267.0	0	17	0	0	0	0	5	0	4	0	0	0	0	0
Transcript_100271.0	26	52	11	8	9	1	0	7	18	0	11	11	12	2
Transcript_100272.0	0	0	0	0	0	1	0	3	0	0	4	0	1	0
Transcript_100273.0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Transcript_100274.0	8	7	7	0	0	0	0	12	10	0	0	0	0	0
Transcript_100275.0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100276.0	0	0	0	0	0	0	0	6	0	0	2	0	2	0
Transcript_100278.0	0	0	0	0	0	0	0	5	0	12	2	0	0	0
Transcript_100280.0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Transcript_100281.0	0	0	0	0	0	0	0	4	0	0	4	0	2	0
Transcript_100282.0	6	2	2	0	3	2	0	0	0	0	6	0	2	0
Transcript_100286.0	0	11	3	0	1	0	0	14	0	0	5	0	3	0
Transcript_100287.0	13	0	1	0	0	2	0	4	0	0	0	0	4	0
Transcript_100292.0	5	0	0	0	0	0	0	3	0	0	2	0	7	0
Transcript_100295.0	0	16	0	0	0	0	0	0	8	0	0	0	0	0
Transcript_100296.0	4	2	18	0	5	5	0	41	0	2	9	0	10	0
Transcript_100299.0	0	2	0	0	2	2	0	15	0	0	0	0	1	2
Transcript_100301.0	4	0	8	0	0	0	0	0	0	0	1	0	2	0
Transcript_100303.0	0	0	6	0	0	2	0	5	0	0	0	0	0	0
Transcript_100305.0	0	1	4	0	7	3	0	0	0	0	1	0	0	0
Transcript_100307.0	0	0	0	0	1	0	0	0	50	0	0	0	3	0
Transcript_100309.0	0	4	0	0	0	0	0	0	0	0	6	0	2	0
Transcript_100310.0	0	3	0	0	1	1	0	1	4	0	2	0	10	0
Transcript_100311.0	14	0	6	0	3	1	0	0	0	0	0	0	3	0
Transcript_100315.0	35	0	14	0	7	3	0	15	0	1	1	4	3	2
Transcript_100318.0	0	0	0	0	0	0	2	70	0	0	0	0	0	2
Transcript_100319.0	8	0	2	0	33	0	0	2	0	0	17	0	24	0
Transcript_100321.0	0	13	55	0	3	48	0	0	5	3	32	0	0	0
Transcript_100324.0	9	0	3	0	1	0	0	2	3	0	10	0	19	1
Transcript_100325.0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100327.0	27	14	2	0	13	2	0	3	1	12	6	0	9	0
Transcript_100328.0	33	1	11	0	0	5	2	13	0	4	1	0	3	0
Transcript_100329.0	71	0	0	0	0	0	0	1	0	0	0	0	0	2
Transcript_100330.0	62	12	0	0	0	1	0	9	0	8	0	0	1	0
Transcript_100331.0	6	5	0	0	7	0	0	6	0	0	3	0	9	0
Transcript_100332.0	0	0	8	0	0	1	0	0	0	0	21	0	10	0
Transcript_100333.0	8	1	4	0	1	0	0	4	0	0	0	0	0	0
Transcript_100334.0	7	13	11	0	0	0	0	10	0	2	5	0	0	0
Transcript_100336.0	0	0	40	0	13	5	0	0	0	0	18	0	23	0
Transcript_100337.0	0	1	0	0	0	12	0	8	0	0	3	0	1	1
Transcript_100338.0	28	0	0	0	0	0	0	1	0	5	0	0	0	0
Transcript_100339.0	31	6	8	0	5	5	0	36	20	20	21	0	22	0
Transcript_100340.0	40	1	1	0	23	0	0	37	2	2	2	0	1	0
Transcript_100341.0	12	0	0	1	0	0	0	12	0	0	0	2	0	0
Transcript_100342.0	3	0	2	0	0	0	0	2	0	0	3	0	0	0
Transcript_100343.0	11	0	8	0	18	2	0	4	0	0	18	0	58	0
Transcript_100345.0	4	0	5	0	0	0	0	0	1	0	1	0	0	0
Transcript_100347.0	17	1	1	0	0	3	0	1	0	5	2	0	8	0
Transcript_100348.0	0	0	0	0	39	0	0	0	0	0	0	0	6	0
Transcript_100353.0	0	34	1	0	0	0	0	0	0	0	0	0	0	0
Transcript_100355.0	11	2	7	0	1	5	0	6	0	0	10	0	9	0
Transcript_100357.0	0	5	0	0	0	0	0	0	0	0	4	0	0	0
Transcript_100358.0	4	0	0	0	0	0	0	21	0	0	0	0	0	0
Transcript_100359.0	3	0	0	0	4	0	0	6	0	0	1	0	3	0
Transcript_100360.0	10	0	6	0	1	4	0	2	14	1	13	0	4	0
Transcript_100361.0	4	2	1	0	1	5	0	9	3	4	0	0	0	0
Transcript_100363.0	17	28	43	3	18	5	0	6	3	9	44	0	73	0
Transcript_100364.0	31	1	8	0	0	1	0	25	0	7	6	0	0	1
Transcript_100366.0	48	0	1	2	2	0	0	58	10	0	0	4	0	2
Transcript_100367.0	10	0	0	0	1	0	0	13	0	23	2	0	3	3
Transcript_100368.0	0	0	5	0	0	0	0	23	0	0	3	0	3	2
Transcript_100369.0	99	68	11	4	17	5	0	30	38	3	28	0	22	5
Transcript_100370.0	3	3	0	4	2	5	0	0	0	20	1	2	10	0
Transcript_100374.0	24	61	11	0	0	0	0	17	0	0	0	2	0	4
Transcript_100375.0	0	0	0	0	24	0	0	0	0	44	0	0	3	0
Transcript_100376.0	26	0	0	0	1	2	0	13	15	0	2	0	3	0
Transcript_100380.0	24	51	21	0	9	0	0	37	2	0	23	0	15	0
Transcript_100381.0	1	1	31	0	12	6	0	5	0	0	11	0	14	1
Transcript_100382.0	0	0	10	0	0	0	0	0	0	0	4	0	5	0
Transcript_100384.0	14	24	14	0	12	0	0	28	0	10	20	0	28	0
Transcript_100385.0	28	1	0	0	0	0	0	5	0	5	0	0	3	0
Transcript_100386.0	25	1	0	0	0	0	0	17	0	0	0	0	0	0
Transcript_100388.0	0	0	14	0	0	0	0	21	0	0	0	0	0	0
Transcript_100392.0	7	1	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100393.0	67	1	0	0	0	0	0	13	0	0	0	0	0	0
Transcript_100394.0	24	1	0	0	3	0	0	2	0	0	0	0	2	0
Transcript_100395.0	6	2	0	0	0	0	0	6	0	0	6	0	8	2
Transcript_100396.0	82	3	0	0	0	0	0	60	0	18	0	0	4	0
Transcript_100397.0	84	3	5	0	3	2	0	36	8	2	0	0	0	2
Transcript_100399.0	19	30	42	0	2	0	0	2	19	0	26	0	9	0
Transcript_100400.0	17	0	0	0	0	0	2	19	0	0	1	4	0	0
Transcript_100401.0	7	0	9	0	0	2	0	10	0	0	1	0	1	0
Transcript_100402.0	123	2	0	0	10	0	2	137	0	0	0	0	24	0
Transcript_100404.0	0	56	7	0	0	0	0	0	0	0	0	0	0	0
Transcript_100405.0	23	46	24	0	31	7	0	37	15	27	22	0	42	0
Transcript_100406.0	6	50	6	0	0	0	0	3	0	0	2	0	0	0
Transcript_100409.0	0	27	0	0	6	1	0	5	0	0	0	2	0	0
Transcript_100410.0	45	5	0	0	0	12	0	26	5	3	1	0	3	0
Transcript_100411.0	0	12	8	0	0	0	0	1	0	0	4	0	0	0
Transcript_100412.0	9	2	17	0	0	1	0	31	0	0	5	0	13	0
Transcript_100415.0	90	214	43	0	17	18	0	113	134	20	3	0	33	25
Transcript_100418.0	9	0	0	0	0	6	0	1	0	0	0	0	0	0
Transcript_100420.0	20	138	75	0	9	23	0	14	16	3	39	0	18	2
Transcript_100421.0	0	0	5	0	1	0	0	0	0	1	6	0	6	0
Transcript_100422.0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100424.0	37	11	35	0	2	19	0	40	0	7	26	0	4	5
Transcript_100425.0	21	0	0	0	0	3	0	12	0	0	0	0	3	2
Transcript_100426.0	0	0	15	0	0	0	0	0	0	0	1	0	0	0
Transcript_100427.0	2	2	0	0	10	0	0	9	2	0	4	0	13	0
Transcript_100430.0	29	1	0	0	8	2	0	18	13	1	4	0	12	0
Transcript_100431.0	12	30	0	0	0	0	0	0	0	0	3	0	2	0
Transcript_100432.0	11	1	0	0	1	0	0	4	0	0	0	0	3	0
Transcript_100434.0	0	0	0	0	0	9	0	0	0	13	0	0	0	0
Transcript_100435.0	1	0	21	0	0	0	0	3	12	0	20	0	15	0
Transcript_100436.0	30	0	0	0	0	0	0	0	0	150	2	0	2	4
Transcript_100440.0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100443.0	39	31	17	0	14	2	0	79	13	2	21	0	21	2
Transcript_100446.0	12	3	0	0	5	2	0	11	11	6	1	2	1	0
Transcript_100447.0	183	68	17	0	0	4	0	108	37	5	32	2	9	6
Transcript_100448.0	8	2	8	0	0	0	0	3	0	0	4	0	0	0
Transcript_100449.0	0	5	0	0	52	0	0	0	1	0	0	0	36	0
Transcript_100451.0	10	45	5	0	0	3	0	9	23	0	5	0	9	2
Transcript_100455.0	0	0	0	0	14	0	2	12	0	67	3	0	0	2
Transcript_100456.0	5	0	15	0	0	0	0	0	0	0	42	0	0	0
Transcript_100459.0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
Transcript_100460.0	0	0	4	0	0	0	0	0	1	0	5	0	1	0
Transcript_100461.0	77	17	8	0	21	2	1	6	28	11	15	0	33	0
Transcript_100464.0	0	0	0	0	0	0	0	4	0	0	0	0	7	0
Transcript_100465.0	0	8	1	0	5	6	0	1	12	0	8	0	10	0
Transcript_100466.0	15	26	8	0	13	2	2	13	11	12	2	0	10	0
Transcript_100467.0	0	2	0	1	2	2	0	4	0	0	1	0	6	0
Transcript_100468.0	62	25	13	0	21	12	0	15	10	5	12	0	21	2
Transcript_100470.0	11	10	0	0	1	3	0	2	1	0	4	0	1	0
Transcript_100471.0	16	2	14	2	0	6	0	22	4	0	15	0	8	2
Transcript_100476.0	0	0	0	0	6	0	0	1	11	0	1	0	14	0
Transcript_100477.0	0	0	0	0	0	0	0	0	0	12	3	0	6	0
Transcript_100478.0	36	0	0	0	0	1	0	4	1	0	1	0	0	0
Transcript_100479.0	6	0	0	0	1	0	0	3	0	0	6	0	1	0
Transcript_100480.0	3	1	57	0	8	0	0	1	0	6	58	0	34	3
Transcript_100481.0	56	5	19	0	4	21	0	36	14	17	13	6	19	2
Transcript_100482.0	6	5	7	0	4	0	0	2	0	0	5	2	8	2
Transcript_100483.0	0	12	2	0	0	0	0	0	0	0	0	0	0	0
Transcript_100486.0	0	1	0	0	3	0	0	1	0	0	1	0	2	0
Transcript_100487.0	14	5	3	0	0	0	0	1	0	0	4	0	4	2
Transcript_100490.0	6	1	7	0	4	0	0	2	0	0	4	0	12	5
Transcript_100491.0	7	5	13	0	0	0	0	11	8	0	1	0	7	0
Transcript_100492.0	42	0	0	0	2	0	0	3	16	0	0	0	6	0
Transcript_100493.0	2	1	0	0	0	0	0	11	0	1	5	0	0	0
Transcript_100494.0	21	74	21	0	11	1	0	30	16	1	8	2	8	0
Transcript_100496.0	35	0	15	0	3	0	0	41	0	16	6	0	9	1
Transcript_100497.0	36	0	0	0	0	0	0	11	8	6	0	0	0	0
Transcript_100501.0	0	12	0	0	0	0	0	4	0	0	0	0	0	0
Transcript_100502.0	29	8	0	0	2	3	0	25	1	0	0	0	4	0
Transcript_100505.0	46	0	0	0	0	0	0	6	0	0	0	0	0	0
Transcript_100506.0	0	0	0	0	0	0	0	6	0	0	0	0	5	0
Transcript_100507.0	34	3	0	0	1	0	0	26	0	0	1	2	1	2
Transcript_100509.0	0	0	0	0	0	513	8	0	1	0	0	0	0	19
Transcript_100510.0	96	23	58	0	7	18	0	124	0	11	18	0	7	1
Transcript_100511.0	2	0	0	0	0	1	0	11	5	0	1	0	0	0
Transcript_100514.0	26	0	0	0	0	0	0	0	0	0	0	0	2	2
Transcript_100515.0	0	1	0	0	0	4	0	0	0	14	2	0	3	0
Transcript_100517.0	28	0	3	0	0	0	0	76	20	0	1	0	0	2
Transcript_100519.0	181	6	13	0	15	7	0	41	11	0	9	0	16	4
Transcript_100520.0	0	0	0	0	0	1	0	0	0	0	0	0	8	0
Transcript_100521.0	11	0	83	0	1	0	0	42	0	1	71	0	23	0
Transcript_100522.0	82	17	26	0	29	5	0	54	2	30	46	4	90	4
Transcript_100524.0	8	0	0	0	0	0	0	28	0	0	0	0	0	0
Transcript_100526.0	0	0	3	0	0	0	0	0	3	0	9	0	6	0
Transcript_100527.0	14	10	0	2	0	2	0	8	0	0	0	0	12	0
Transcript_100529.0	10	0	0	0	0	0	0	2	0	0	0	0	0	0
Transcript_100531.0	0	212	0	0	0	0	0	0	0	0	0	0	0	2
Transcript_100532.0	30	18	16	0	2	0	0	3	1	0	0	0	3	0
Transcript_100533.0	6	39	25	0	12	0	0	9	8	1	17	0	20	0
Transcript_100535.0	111	4	30	0	4	8	0	151	0	13	14	2	5	10
Transcript_100536.0	84	3	14	0	25	1	1	34	67	11	11	0	48	4
Transcript_100538.0	4	6	3	0	4	4	0	14	0	0	7	0	0	2
Transcript_100539.0	0	0	58	0	0	0	0	0	0	0	24	0	2	0
Transcript_100540.0	71	46	82	0	32	20	2	39	2	4	31	0	68	2
Transcript_100541.0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Transcript_100543.0	0	0	0	0	3	0	0	0	0	0	0	0	5	0
Transcript_100544.0	26	5	0	0	6	5	0	1	33	1	1	0	7	0
Transcript_100545.0	202	0	1	0	0	4	0	93	0	0	0	2	0	2
Transcript_100546.0	102	95	66	8	28	3	0	64	38	16	65	13	62	2
Transcript_100547.0	5	7	2	0	13	6	0	1	2	16	9	0	21	5
Transcript_100548.0	0	1	6	0	2	2	0	0	6	0	6	0	1	0
Transcript_100550.0	32	1	0	0	0	3	0	0	0	0	0	0	0	0
Transcript_100552.0	0	0	0	0	0	93	0	0	0	0	0	0	0	3
Transcript_100553.0	23	5	48	0	31	6	0	26	23	21	52	3	50	4
Transcript_100555.0	61	83	59	0	6	7	0	10	246	180	18	0	27	0
Transcript_100556.0	56	1	0	0	0	0	0	2	14	0	0	0	0	0
Transcript_100558.0	18	3	1	0	2	0	0	7	0	0	1	0	14	0
Transcript_100562.0	3	20	4	0	4	4	0	1	0	0	5	0	1	3
Transcript_100563.0	0	0	0	0	0	0	0	3	0	0	3	0	2	0
Transcript_100564.0	28	55	15	0	7	5	0	16	24	0	15	2	33	6
Transcript_100566.0	21	1	1	0	1	0	0	126	0	0	0	0	0	1
Transcript_100568.0	0	0	0	0	1	2	0	9	0	0	0	0	5	0
Transcript_100570.0	1	0	0	0	26	0	0	4	0	0	6	0	17	0
Transcript_100571.0	14	0	3	0	0	0	0	2	0	0	0	0	4	0
Transcript_100572.0	1	1	6	0	0	0	0	30	0	0	0	0	0	0
Transcript_100573.0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Transcript_100575.0	14	10	0	0	1	0	0	11	2	0	0	2	5	0
Transcript_100576.0	1	0	16	0	0	0	2	7	0	49	9	0	8	1
Transcript_100577.0	8	4	0	0	1	0	0	7	0	0	10	0	7	0
Transcript_100578.0	0	49	3	0	0	0	0	0	0	0	0	0	0	0
Transcript_100582.0	0	26	2	0	3	0	0	2	78	0	0	8	15	128
Transcript_100583.0	0	0	0	0	11	0	2	0	0	1	6	0	60	0
Transcript_100586.0	4	5	0	0	6	3	0	6	0	11	0	0	2	0
Transcript_100588.0	8	1	2	0	0	2	0	12	0	6	0	0	4	0
Transcript_100589.0	80	31	11	12	76	3	0	24	72	19	13	30	29	4
Transcript_100591.0	4	10	0	0	0	2	0	1	8	0	0	0	0	2
Transcript_100592.0	10	9	3	0	9	5	0	21	0	16	9	0	2	0
Transcript_100593.0	25	242	22	0	6	3	0	7	8	0	0	0	2	2
Transcript_100594.0	8	0	9	0	2	0	0	4	0	9	13	0	22	0
Transcript_100595.0	24	4	0	0	9	4	0	5	33	19	7	0	14	0
Transcript_100596.0	0	61	6	0	0	0	0	5	0	0	1	0	0	0
Transcript_100597.0	32	46	34	0	23	33	0	80	6	33	22	5	60	0
Transcript_100598.0	8	2	0	0	12	1	0	29	9	4	7	0	8	2
Transcript_100599.0	15	1	0	0	5	7	0	34	10	16	2	0	3	0
Transcript_100600.0	43	10	19	0	14	14	0	68	19	20	15	12	18	10
Transcript_100601.0	41	9	11	0	5	5	0	9	2	2	8	0	9	0
Transcript_100602.0	50	34	16	2	21	8	2	61	7	9	16	0	16	4
Transcript_100606.0	20	4	15	2	4	7	0	9	17	0	10	2	11	5
Transcript_100607.0	105	375	65	0	1	21	0	32	37	13	13	0	17	2
Transcript_100608.0	0	0	0	0	14	0	0	0	0	0	0	0	25	4
Transcript_100609.0	13	0	0	0	0	0	0	6	0	0	0	0	0	0
Transcript_100611.0	0	5	0	0	2	0	0	4	0	0	0	0	2	2
Transcript_100613.0	6	2	0	0	0	3	0	0	0	0	0	0	0	0
Transcript_100614.0	0	83	8	2	0	4	0	2	34	0	10	0	10	0
Transcript_100615.0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
Transcript_100621.0	0	0	0	0	0	660	0	0	0	2	1	0	0	0
Transcript_100623.0	0	0	0	0	0	1	0	46	0	0	0	0	0	0
Transcript_100624.0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Transcript_100625.0	0	3	0	0	0	0	0	4	0	0	0	0	16	2
Transcript_100626.0	15	2	8	0	1	0	0	12	12	6	10	1	7	0
Transcript_100627.0	0	0	6	0	0	0	0	10	0	1	4	0	4	0
Transcript_100628.0	15	18	0	0	0	0	0	24	0	0	8	0	7	0
Transcript_100629.0	0	0	0	0	0	0	0	0	4	9	1	0	0	0
Transcript_100630.0	52	4	40	0	9	4	0	53	2	11	31	0	27	0
Transcript_100632.0	13	9	12	0	7	1	0	18	0	2	25	2	25	4
Transcript_100633.0	0	0	0	0	0	0	0	3	0	2	4	0	2	0
Transcript_100634.0	0	9	0	0	0	22	0	3	0	0	0	0	11	0
Transcript_100635.0	35	14	2	0	2	6	0	10	3	0	15	0	17	0
Transcript_100636.0	2	1	13	0	0	0	2	4	0	0	0	0	4	0
Transcript_100637.0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100638.0	19	1	0	0	0	2	0	31	0	0	0	0	0	0
Transcript_100639.0	0	13	0	0	0	0	0	2	0	0	0	0	0	0
Transcript_100642.0	21	1	59	0	22	0	0	3	0	14	50	0	10	0
Transcript_100643.0	9	2	0	0	3	3	0	13	3	0	2	0	18	0
Transcript_100644.0	36	7	24	0	27	3	0	32	21	11	31	0	60	2
Transcript_100645.0	22	6	6	0	16	1	0	13	9	0	5	0	3	0
Transcript_100646.0	3	45	5	0	2	11	0	20	0	11	5	0	8	0
Transcript_100647.0	9	1	0	0	0	0	0	11	0	0	0	0	0	0
Transcript_100648.0	0	2	0	0	0	0	0	1	22	0	3	0	0	0
Transcript_100652.0	305	1	30	0	0	0	0	24	12	0	16	0	4	0
Transcript_100653.0	0	0	0	0	0	0	0	26	0	6	0	0	0	0
Transcript_100655.0	26	0	0	0	0	0	0	39	9	0	0	2	0	4
Transcript_100657.0	3	1	0	0	0	0	0	6	37	0	0	0	0	0
Transcript_100658.0	42	12	22	2	3	19	0	29	51	23	16	0	19	2
Transcript_10066.0	0	5904	162	0	0	0	0	0	0	0	0	0	0	1
Transcript_100660.0	311	5	0	0	0	0	0	76	0	0	6	0	2	0
Transcript_100662.0	5	2	0	0	2	0	0	0	0	18	0	0	3	0
Transcript_100664.0	16	4	1	0	1	0	0	3	0	0	3	0	5	4
Transcript_100665.0	1	11	8	0	9	0	0	2	0	0	16	0	29	2
Transcript_100667.0	0	0	0	0	8	0	0	1	33	1	0	0	25	2
Transcript_100669.0	0	14	1	0	18	3	0	0	0	63	0	0	3	0
Transcript_100670.0	21	3	0	0	0	4	0	52	0	1	0	0	0	0
Transcript_100671.0	0	2	0	0	8	0	0	4	0	10	0	0	3	0
Transcript_100672.0	14	0	0	0	0	0	0	27	0	0	0	0	0	0
