go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0048513	BP	8	15868	3	4.605299602034793	2.963331626593213e-82	8	animal organ development	['Transcript_101038.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_41376.0', 'Transcript_47028.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0048731	BP	8	14936	3	4.517973132115714	6.644398443699412e-76	8	system development	['Transcript_101038.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_41376.0', 'Transcript_47028.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0023051	BP	6	11180	3	4.515136986898908	1.6470378266583102e-54	6	regulation of signaling	['Transcript_145826.0', 'Transcript_194211.0', 'Transcript_50594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010646	BP	6	11179	4	4.5150079386371935	1.6470378266583102e-54	6	regulation of cell communication	['Transcript_145826.0', 'Transcript_194211.0', 'Transcript_50594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051049	BP	3	5536	4	4.501132646805081	1.7708411213471041e-25	3	regulation of transport	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010628	BP	5	9035	6	4.4708477107541125	7.609929750783522e-43	5	positive regulation of gene expression	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010468	BP	7	12567	5	4.4614646674195875	1.1034223618384229e-61	7	regulation of gene expression	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0045935	BP	5	8841	6	4.439532670847306	7.891835276469122e-42	5	positive regulation of nucleobase-containing compound metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0009891	BP	5	8783	5	4.430036913419036	1.9243416284923686e-41	5	positive regulation of biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010557	BP	5	8782	6	4.429872644128691	1.9243416284923686e-41	5	positive regulation of macromolecule biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031328	BP	5	8782	6	4.429872644128691	1.9243416284923686e-41	5	positive regulation of cellular biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051254	BP	5	8765	6	4.42707720064905	3.105866023493827e-41	5	positive regulation of RNA metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0019219	BP	7	12254	5	4.425077133809237	7.116378550013136e-60	7	regulation of nucleobase-containing compound metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1903508	BP	5	8730	8	4.421304763518952	4.731626732446281e-41	5	positive regulation of nucleic acid-templated transcription	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0045893	BP	5	8730	7	4.421304763518952	4.731626732446281e-41	5	positive regulation of transcription, DNA-templated	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1902680	BP	5	8730	7	4.421304763518952	4.731626732446281e-41	5	positive regulation of RNA biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0045944	BP	5	8728	8	4.420974211325757	4.731626732446281e-41	5	positive regulation of transcription by RNA polymerase II	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051252	BP	7	12137	5	4.411236240492051	5.9841196567446595e-59	7	regulation of RNA metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051649	BP	3	5186	3	4.406910910021651	1.7939235802003853e-23	3	establishment of localization in cell	['Transcript_198094.0', 'Transcript_256468.0', 'Transcript_41376.0']
GO:0009889	BP	7	11974	4	4.39172955273471	4.522398392902624e-58	7	regulation of biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0009059	BP	4	6833	4	4.389770331364151	1.7316266486022051e-31	4	macromolecule biosynthetic process	['Transcript_196683.0', 'Transcript_250052.0', 'Transcript_41376.0', 'Transcript_7263.0']
GO:0034645	BP	4	6794	4	4.381512422768713	4.309170574243003e-31	4	cellular macromolecule biosynthetic process	['Transcript_196683.0', 'Transcript_250052.0', 'Transcript_41376.0', 'Transcript_7263.0']
GO:0010556	BP	7	11840	5	4.37549345834822	3.2398748401023594e-57	7	regulation of macromolecule biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031326	BP	7	11840	5	4.37549345834822	3.2398748401023594e-57	7	regulation of cellular biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:2000112	BP	7	11840	6	4.37549345834822	3.2398748401023594e-57	7	regulation of cellular macromolecule biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0006139	BP	6	10060	3	4.362847103861245	1.3660166177030692e-47	6	nucleobase-containing compound metabolic process	['Transcript_100370.0', 'Transcript_17017.0', 'Transcript_196683.0', 'Transcript_266408.0', 'Transcript_41376.0', 'Transcript_51892.0']
GO:1903506	BP	7	11574	7	4.342711926602168	1.1517445822832166e-55	7	regulation of nucleic acid-templated transcription	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:2001141	BP	7	11574	6	4.342711926602168	1.1517445822832166e-55	7	regulation of RNA biosynthetic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0006355	BP	7	11574	6	4.342711926602168	1.1517445822832166e-55	7	regulation of transcription, DNA-templated	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051641	BP	4	6513	2	4.320573431225813	1.1513198525468866e-29	4	cellular localization	['Transcript_198094.0', 'Transcript_252768.0', 'Transcript_256468.0', 'Transcript_41376.0']
GO:0006357	BP	7	11274	7	4.304823849973119	1.0707840162519927e-53	7	regulation of transcription by RNA polymerase II	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1901700	BP	3	4827	3	4.303415530612958	1.454176488002731e-21	3	response to oxygen-containing compound	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0030154	BP	8	12765	3	4.291372837183993	1.3465121282786112e-61	8	cell differentiation	['Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_41376.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0043412	BP	5	7962	4	4.288453981093499	1.1291455966598901e-36	5	macromolecule modification	['Transcript_194211.0', 'Transcript_260829.0', 'Transcript_267416.0', 'Transcript_41376.0', 'Transcript_5463.0']
GO:0048869	BP	9	14001	2	4.254784171132499	2.5731889787361555e-68	9	cellular developmental process	['Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_39594.0', 'Transcript_41376.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0006464	BP	5	7713	5	4.242615220556962	4.1952469133404276e-35	5	cellular protein modification process	['Transcript_194211.0', 'Transcript_260829.0', 'Transcript_267416.0', 'Transcript_41376.0', 'Transcript_5463.0']
GO:0036211	BP	5	7713	4	4.242615220556962	4.1952469133404276e-35	5	protein modification process	['Transcript_194211.0', 'Transcript_260829.0', 'Transcript_267416.0', 'Transcript_41376.0', 'Transcript_5463.0']
GO:0070365	BP	3	13	5	4.233055862690552	0.0017338106871473856	3	hepatocyte differentiation	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0046903	BP	3	4442	4	4.183498096715336	1.7342836462450482e-19	3	secretion	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0032940	BP	3	4395	3	4.168151869199122	2.4693061015289863e-19	3	secretion by cell	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0140352	BP	3	4395	2	4.168151869199122	2.4693061015289863e-19	3	export from cell	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0009892	BP	5	7264	4	4.1560873122930655	1.3141142702377794e-32	5	negative regulation of metabolic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010605	BP	5	7211	5	4.145522451654876	3.2132773309489215e-32	5	negative regulation of macromolecule metabolic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0046483	BP	7	10080	3	4.143320016219187	2.126737360413696e-46	7	heterocycle metabolic process	['Transcript_100370.0', 'Transcript_17017.0', 'Transcript_196683.0', 'Transcript_266408.0', 'Transcript_41376.0', 'Transcript_51892.0', 'Transcript_5724.0']
GO:0010629	BP	5	7140	6	4.131247183918612	7.562366349072028e-32	5	negative regulation of gene expression	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031324	BP	5	7104	5	4.123954691352256	1.1501972407570177e-31	5	negative regulation of cellular metabolic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051046	BP	3	4246	5	4.118393075073734	1.777042857870153e-18	3	regulation of secretion	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1903530	BP	3	4246	4	4.118393075073734	1.777042857870153e-18	3	regulation of secretion by cell	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0006996	BP	6	8481	4	4.1165230877206875	2.89081495228332e-38	6	organelle organization	['Transcript_110387.0', 'Transcript_198094.0', 'Transcript_252768.0', 'Transcript_256468.0', 'Transcript_57727.0', 'Transcript_60206.0']
GO:0051172	BP	5	7051	5	4.113150990258188	2.8442534186232235e-31	5	negative regulation of nitrogen compound metabolic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0048856	BP	13	18120	2	4.096322536682017	3.0319445701605206e-91	13	anatomical structure development	['Transcript_101038.0', 'Transcript_130848.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_198094.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_41376.0', 'Transcript_47028.0', 'Transcript_50594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0009890	BP	5	6945	5	4.091297803870905	9.698525626144409e-31	5	negative regulation of biosynthetic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0045934	BP	5	6936	6	4.089427008223986	9.556177535802904e-31	5	negative regulation of nucleobase-containing compound metabolic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031327	BP	5	6935	6	4.089218992213115	9.556177535802904e-31	5	negative regulation of cellular biosynthetic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010558	BP	5	6935	6	4.089218992213115	9.556177535802904e-31	5	negative regulation of macromolecule biosynthetic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:2000113	BP	5	6935	7	4.089218992213115	9.556177535802904e-31	5	negative regulation of cellular macromolecule biosynthetic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051253	BP	5	6910	6	4.084008820277771	1.4163740428446107e-30	5	negative regulation of RNA metabolic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0045892	BP	5	6828	7	4.066786168029888	3.2154588704848254e-30	5	negative regulation of transcription, DNA-templated	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1903507	BP	5	6828	8	4.066786168029888	3.2154588704848254e-30	5	negative regulation of nucleic acid-templated transcription	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1902679	BP	5	6828	7	4.066786168029888	3.2154588704848254e-30	5	negative regulation of RNA biosynthetic process	['Transcript_145826.0', 'Transcript_244934.0', 'Transcript_32366.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0009719	BP	4	5424	2	4.056608383025856	1.2422476499174953e-23	4	response to endogenous stimulus	['Transcript_110387.0', 'Transcript_194211.0', 'Transcript_252340.0', 'Transcript_5463.0']
GO:0071495	BP	4	5396	3	4.04914155283778	1.8685795639424898e-23	4	cellular response to endogenous stimulus	['Transcript_110387.0', 'Transcript_194211.0', 'Transcript_252340.0', 'Transcript_5463.0']
GO:0033554	BP	4	5384	3	4.04592961449983	1.8685795639424898e-23	4	cellular response to stress	['Transcript_196683.0', 'Transcript_267416.0', 'Transcript_45872.0', 'Transcript_57727.0']
GO:0034613	BP	3	3946	4	4.012679659891915	5.913747145905509e-17	3	cellular protein localization	['Transcript_198094.0', 'Transcript_252768.0', 'Transcript_41376.0']
GO:0070727	BP	3	3946	3	4.012679659891915	5.913747145905509e-17	3	cellular macromolecule localization	['Transcript_198094.0', 'Transcript_252768.0', 'Transcript_41376.0']
GO:0019222	BP	11	14357	3	4.001501999789672	7.822513873201172e-68	11	regulation of metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031323	BP	11	13929	4	3.957839367540033	3.496273709616523e-65	11	regulation of cellular metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0060255	BP	11	13841	4	3.948695860981715	1.0570995608202271e-64	11	regulation of macromolecule metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0080090	BP	11	13724	4	3.936448711809869	8.989773526022769e-64	11	regulation of primary metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031399	BP	3	3740	6	3.9353269739433547	8.857239812690717e-16	3	regulation of protein modification process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0051171	BP	11	13564	4	3.919530370277646	7.633664332479045e-63	11	regulation of nitrogen compound metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_244934.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0016310	BP	3	3696	5	3.918253460584414	1.2385875164811727e-15	3	phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0051246	BP	4	4895	5	3.9085600643805702	1.1508695668473277e-20	4	regulation of protein metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0']
GO:0019220	BP	3	3614	6	3.8858852100329555	4.0622087159951745e-15	3	regulation of phosphate metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0051174	BP	3	3614	5	3.8858852100329555	4.0622087159951745e-15	3	regulation of phosphorus metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0032268	BP	4	4809	5	3.882988130765217	2.3744833930316482e-20	4	regulation of cellular protein metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0']
GO:0065008	BP	8	9611	2	3.8819377520942173	2.0745058822408327e-42	8	regulation of biological quality	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_251708.0', 'Transcript_260133.0', 'Transcript_45872.0', 'Transcript_68467.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:1901135	BP	4	4782	3	3.8748653346011404	3.5533947030130807e-20	4	carbohydrate derivative metabolic process	['Transcript_100370.0', 'Transcript_17017.0', 'Transcript_266408.0', 'Transcript_41376.0']
GO:0031401	BP	3	3573	7	3.8694246177536264	5.723811737591934e-15	3	positive regulation of protein modification process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0006468	BP	3	3550	6	3.860107728447763	8.393969140707819e-15	3	protein phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0042325	BP	3	3546	7	3.8584812400670447	8.291730137228979e-15	3	regulation of phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0001932	BP	3	3523	7	3.8490931786633196	7.998246840854645e-15	3	regulation of protein phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0045937	BP	3	3458	7	3.822226572810638	1.6748957727594887e-14	3	positive regulation of phosphate metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0010562	BP	3	3458	6	3.822226572810638	1.6748957727594887e-14	3	positive regulation of phosphorus metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0042327	BP	3	3438	8	3.813858248646417	2.435512350467967e-14	3	positive regulation of phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0001934	BP	3	3437	8	3.8134385555406536	2.435512350467967e-14	3	positive regulation of protein phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0009893	BP	9	10281	4	3.809234895687531	3.4948416455509065e-45	9	positive regulation of metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0010604	BP	9	10238	5	3.8031882094385807	5.5365699948503704e-45	9	positive regulation of macromolecule metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0050794	BP	18	20436	3	3.8003671388468985	1.7021860371997145e-101	18	regulation of cellular process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_18634.0', 'Transcript_194211.0', 'Transcript_202000.0', 'Transcript_22362.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_45872.0', 'Transcript_50594.0', 'Transcript_5463.0', 'Transcript_60206.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051247	BP	4	4523	6	3.7945312005209235	8.134459652666077e-19	4	positive regulation of protein metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0']
GO:0032270	BP	4	4504	6	3.788458031969742	1.2568282480460256e-18	4	positive regulation of cellular protein metabolic process	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0']
GO:0023014	BP	3	3374	3	3.7867486774559223	5.130884775680589e-14	3	signal transduction by protein phosphorylation	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0050789	BP	19	21352	2	3.7856229965878927	2.2756805953190042e-107	19	regulation of biological process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_18634.0', 'Transcript_194211.0', 'Transcript_202000.0', 'Transcript_22362.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_267416.0', 'Transcript_32366.0', 'Transcript_39594.0', 'Transcript_45872.0', 'Transcript_50594.0', 'Transcript_51892.0', 'Transcript_5463.0', 'Transcript_60206.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0048518	BP	11	12342	3	3.7833238804983056	2.1964283264310125e-55	11	positive regulation of biological process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_22362.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_60206.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0031325	BP	9	10043	5	3.775444587068719	9.747119921394934e-44	9	positive regulation of cellular metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0048522	BP	11	12257	4	3.7733535917433767	1.020004502627709e-54	11	positive regulation of cellular process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_22362.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_60206.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0051173	BP	9	10019	5	3.7719928178035778	9.70952515556652e-44	9	positive regulation of nitrogen compound metabolic process	['Transcript_110387.0', 'Transcript_139373.0', 'Transcript_145826.0', 'Transcript_194211.0', 'Transcript_267416.0', 'Transcript_39594.0', 'Transcript_5463.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0048519	BP	9	9980	3	3.7663660186718233	1.5229120572557351e-43	9	negative regulation of biological process	['Transcript_145826.0', 'Transcript_18634.0', 'Transcript_202000.0', 'Transcript_244934.0', 'Transcript_25168.0', 'Transcript_32366.0', 'Transcript_50594.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0017144	BP	4	4430	3	3.764557903331893	2.639341523342473e-18	4	drug metabolic process	['Transcript_100370.0', 'Transcript_17017.0', 'Transcript_5724.0', 'Transcript_78707.0']
GO:0006725	BP	10	11056	3	3.7620807253904087	1.1058962439679974e-48	10	cellular aromatic compound metabolic process	['Transcript_100370.0', 'Transcript_101038.0', 'Transcript_17017.0', 'Transcript_196683.0', 'Transcript_25168.0', 'Transcript_266408.0', 'Transcript_41376.0', 'Transcript_51892.0', 'Transcript_5724.0', 'Transcript_78707.0']
GO:0043170	BP	13	14221	3	3.7467624980354786	1.702192522536379e-64	13	macromolecule metabolic process	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_194211.0', 'Transcript_196683.0', 'Transcript_250052.0', 'Transcript_260829.0', 'Transcript_267416.0', 'Transcript_41376.0', 'Transcript_45497.0', 'Transcript_5463.0', 'Transcript_7263.0', 'Transcript_79591.0', 'Transcript_93442.0']
