go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0031327	BP	4	6935	6	4.397169309544025	1.2539758494764746e-31	4	negative regulation of cellular biosynthetic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:0051253	BP	4	6910	6	4.39195913760868	1.878453240233116e-31	4	negative regulation of RNA metabolic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:0098660	BP	3	5156	4	4.384563189973554	4.80758303358974e-23	3	inorganic ion transmembrane transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_284550.0']
GO:1903507	BP	4	6828	8	4.374736485360798	7.100070116736098e-31	4	negative regulation of nucleic acid-templated transcription	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:0045892	BP	4	6828	7	4.374736485360798	7.100070116736098e-31	4	negative regulation of transcription, DNA-templated	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:1902679	BP	4	6828	7	4.374736485360798	7.100070116736098e-31	4	negative regulation of RNA biosynthetic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:0048918	BP	4	16	6	4.3625108576669405	0.0001670838880900419	4	posterior lateral line nerve development	['Transcript_102519.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0']
GO:0030001	BP	3	4861	6	4.299564060400485	1.8403373626175997e-21	3	metal ion transport	['Transcript_236739.0', 'Transcript_284550.0', 'Transcript_86125.0']
GO:0007389	BP	4	6437	2	4.28966189584277	7.652968603985779e-29	4	pattern specification process	['Transcript_133708.0', 'Transcript_18460.0', 'Transcript_19329.0', 'Transcript_19653.0']
GO:0048583	BP	7	10622	3	4.20490203436828	4.1260747836960114e-49	7	regulation of response to stimulus	['Transcript_133708.0', 'Transcript_19653.0', 'Transcript_212947.0', 'Transcript_236739.0', 'Transcript_277684.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0048935	BP	4	18	5	4.192585856224628	0.0002631751937225194	4	peripheral nervous system neuron development	['Transcript_102519.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0']
GO:0048934	BP	4	18	5	4.192585856224628	0.0002631751937225194	4	peripheral nervous system neuron differentiation	['Transcript_102519.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0']
GO:0048732	BP	3	4449	4	4.171792024787689	3.268046777043279e-19	3	gland development	['Transcript_101038.0', 'Transcript_19329.0', 'Transcript_19653.0']
GO:0023057	BP	3	4251	4	4.106113185251077	3.4193175343039e-18	3	negative regulation of signaling	['Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0010648	BP	3	4251	5	4.106113185251077	3.4193175343039e-18	3	negative regulation of cell communication	['Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0048585	BP	3	4249	4	4.10543426992519	3.4193175343039e-18	3	negative regulation of response to stimulus	['Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0006812	BP	4	5642	5	4.099480092918631	1.858120380871547e-24	4	cation transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_284550.0', 'Transcript_86125.0']
GO:1905114	BP	3	4229	4	4.098627486640705	5.082913384698768e-18	3	cell surface receptor signaling pathway involved in cell-cell signaling	['Transcript_19329.0', 'Transcript_241184.0', 'Transcript_5147.0']
GO:0009968	BP	3	4227	5	4.097945038642696	5.062893123844902e-18	3	negative regulation of signal transduction	['Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0098655	BP	3	4220	4	4.095553925206451	5.0200664521153505e-18	3	cation transmembrane transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_284550.0']
GO:0016055	BP	3	4217	5	4.094527947891037	5.0132788974774046e-18	3	Wnt signaling pathway	['Transcript_19329.0', 'Transcript_241184.0', 'Transcript_5147.0']
GO:0098662	BP	3	4200	5	4.088700254165388	7.601346729566154e-18	3	inorganic cation transmembrane transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_284550.0']
GO:0042330	BP	3	4151	2	4.071769858215512	1.0558426553542671e-17	3	taxis	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0']
GO:0048870	BP	3	4133	2	4.065500289986444	1.595766988713623e-17	3	cell motility	['Transcript_11892.0', 'Transcript_18281.0', 'Transcript_277684.0']
GO:0007166	BP	8	11016	3	4.064801986468024	4.892244757520214e-50	8	cell surface receptor signaling pathway	['Transcript_12207.0', 'Transcript_123380.0', 'Transcript_19329.0', 'Transcript_19653.0', 'Transcript_211997.0', 'Transcript_241184.0', 'Transcript_45430.0', 'Transcript_5147.0']
GO:0006935	BP	3	4108	3	4.056747107930098	1.534031290011177e-17	3	chemotaxis	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0']
GO:0055085	BP	4	5366	2	4.027120481593581	8.105633521730161e-23	4	transmembrane transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_241184.0', 'Transcript_284550.0']
GO:0032879	BP	5	6679	3	4.020977446328396	7.768869946973781e-29	5	regulation of localization	['Transcript_11892.0', 'Transcript_185711.0', 'Transcript_19329.0', 'Transcript_241184.0', 'Transcript_284550.0']
GO:0007154	BP	7	9202	2	3.9978659613787	1.380794644772487e-40	7	cell communication	['Transcript_10670.0', 'Transcript_133708.0', 'Transcript_19329.0', 'Transcript_22207.0', 'Transcript_241184.0', 'Transcript_278134.0', 'Transcript_5147.0']
GO:0097485	BP	3	3919	3	3.988796499214113	1.545668538551445e-16	3	neuron projection guidance	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0']
GO:0007267	BP	7	9139	2	3.987954817489083	3.4277932821586075e-40	7	cell-cell signaling	['Transcript_10670.0', 'Transcript_133708.0', 'Transcript_19329.0', 'Transcript_22207.0', 'Transcript_241184.0', 'Transcript_278134.0', 'Transcript_5147.0']
GO:0007411	BP	3	3910	4	3.985479533806618	2.388457357829066e-16	3	axon guidance	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0']
GO:0042221	BP	6	7723	2	3.967472297652227	1.509104652150913e-33	6	response to chemical	['Transcript_116851.0', 'Transcript_142907.0', 'Transcript_19329.0', 'Transcript_241184.0', 'Transcript_45430.0', 'Transcript_8966.0']
GO:0046164	BP	3	16	4	3.947473358388097	0.003338195906689823	3	alcohol catabolic process	['Transcript_116851.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0006357	BP	9	11274	7	3.928275993031959	2.4042109091520335e-50	9	regulation of transcription by RNA polymerase II	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:1901698	BP	3	3653	3	3.887392679973922	3.153727292372512e-15	3	response to nitrogen compound	['Transcript_116851.0', 'Transcript_142907.0', 'Transcript_8966.0']
GO:0010243	BP	3	3648	4	3.8854166557766447	4.819446593187455e-15	3	response to organonitrogen compound	['Transcript_116851.0', 'Transcript_142907.0', 'Transcript_8966.0']
GO:0006468	BP	3	3550	6	3.84612995089131	1.4457406014478746e-14	3	protein phosphorylation	['Transcript_267416.0', 'Transcript_291214.0', 'Transcript_85668.0']
GO:0042325	BP	3	3546	7	3.844503462510592	1.4251731960674564e-14	3	regulation of phosphorylation	['Transcript_198025.0', 'Transcript_267416.0', 'Transcript_278134.0']
GO:0051172	BP	6	7051	5	3.836138806867942	8.552376783217629e-30	6	negative regulation of nitrogen compound metabolic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_198025.0', 'Transcript_268558.0', 'Transcript_291214.0']
GO:0001932	BP	3	3523	7	3.835115401106867	2.1755255122457623e-14	3	regulation of protein phosphorylation	['Transcript_198025.0', 'Transcript_267416.0', 'Transcript_278134.0']
GO:0048878	BP	3	3460	4	3.8090829641359902	2.8970467195991e-14	3	chemical homeostasis	['Transcript_19329.0', 'Transcript_236739.0', 'Transcript_8966.0']
GO:0090596	BP	3	3418	4	3.791463323288043	6.257589399913491e-14	3	sensory organ morphogenesis	['Transcript_11892.0', 'Transcript_277684.0', 'Transcript_48093.0']
GO:0035556	BP	8	9050	3	3.7811912191909895	1.6681205665260918e-38	8	intracellular signal transduction	['Transcript_11892.0', 'Transcript_187368.0', 'Transcript_196303.0', 'Transcript_19643.0', 'Transcript_212947.0', 'Transcript_267416.0', 'Transcript_277684.0', 'Transcript_8966.0']
GO:0007413	BP	4	24	4	3.7775483569457844	0.0007904106829757012	4	axonal fasciculation	['Transcript_102519.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0']
GO:0106030	BP	4	24	7	3.7775483569457844	0.0007904106829757012	4	neuron projection fasciculation	['Transcript_102519.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0']
GO:0019725	BP	3	3375	2	3.773198428437459	8.828359489471151e-14	3	cellular homeostasis	['Transcript_211997.0', 'Transcript_236739.0', 'Transcript_8966.0']
GO:0051338	BP	3	3349	4	3.7620413023186194	1.3021537472881962e-13	3	regulation of transferase activity	['Transcript_198025.0', 'Transcript_267416.0', 'Transcript_278134.0']
GO:0019219	BP	11	12254	5	3.759022659673091	6.619733617226841e-54	11	regulation of nucleobase-containing compound metabolic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0043549	BP	3	3339	5	3.7577270196750194	1.2803434254760538e-13	3	regulation of kinase activity	['Transcript_198025.0', 'Transcript_267416.0', 'Transcript_278134.0']
GO:0046903	BP	4	4442	4	3.75448281988004	5.035083659121667e-18	4	secretion	['Transcript_10670.0', 'Transcript_19329.0', 'Transcript_22207.0', 'Transcript_278134.0']
GO:0018193	BP	4	4433	6	3.751556789498324	5.0132788974774046e-18	4	peptidyl-amino acid modification	['Transcript_185711.0', 'Transcript_21915.0', 'Transcript_291214.0', 'Transcript_85668.0']
GO:0017144	BP	4	4430	3	3.75058012577544	5.0132788974774046e-18	4	drug metabolic process	['Transcript_259687.0', 'Transcript_40953.0', 'Transcript_45430.0', 'Transcript_48093.0']
GO:0045859	BP	3	3316	6	3.747754933107654	1.8414731893469265e-13	3	regulation of protein kinase activity	['Transcript_198025.0', 'Transcript_267416.0', 'Transcript_278134.0']
GO:0045935	BP	8	8841	6	3.747482988178216	2.5379774936716265e-37	8	positive regulation of nucleobase-containing compound metabolic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0009100	BP	4	4420	4	3.747319796611853	7.640988115849813e-18	4	glycoprotein metabolic process	['Transcript_21124.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0051252	BP	11	12137	5	3.745181766355905	5.174128928254512e-53	11	regulation of RNA metabolic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0140352	BP	4	4395	2	3.7391365923638262	7.200035375204595e-18	4	export from cell	['Transcript_10670.0', 'Transcript_19329.0', 'Transcript_22207.0', 'Transcript_278134.0']
GO:0032940	BP	4	4395	3	3.7391365923638262	7.200035375204595e-18	4	secretion by cell	['Transcript_10670.0', 'Transcript_19329.0', 'Transcript_22207.0', 'Transcript_278134.0']
GO:0051254	BP	8	8765	6	3.7350275179799604	6.157119215789898e-37	8	positive regulation of RNA metabolic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:1902680	BP	8	8730	7	3.729255080849862	9.177614115582033e-37	8	positive regulation of RNA biosynthetic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:1903508	BP	8	8730	8	3.729255080849862	9.177614115582033e-37	8	positive regulation of nucleic acid-templated transcription	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0045893	BP	8	8730	7	3.729255080849862	9.177614115582033e-37	8	positive regulation of transcription, DNA-templated	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0045944	BP	8	8728	8	3.728924528656667	9.177614115582033e-37	8	positive regulation of transcription by RNA polymerase II	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0001654	BP	3	3258	5	3.722297530137421	3.945866001897045e-13	3	eye development	['Transcript_11892.0', 'Transcript_21585.0', 'Transcript_277684.0']
GO:0150063	BP	3	3257	5	3.7218546460078064	3.938682323842049e-13	3	visual system development	['Transcript_11892.0', 'Transcript_21585.0', 'Transcript_277684.0']
GO:0061024	BP	5	5386	4	3.7105595619473686	8.514802725768555e-22	5	membrane organization	['Transcript_11892.0', 'Transcript_145078.0', 'Transcript_185363.0', 'Transcript_22207.0', 'Transcript_277684.0']
GO:0045595	BP	8	8583	4	3.704755425377398	5.457877349339332e-36	8	regulation of cell differentiation	['Transcript_102519.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0050793	BP	9	9648	3	3.703578332790832	8.887484283030094e-41	9	regulation of developmental process	['Transcript_102519.0', 'Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0008380	BP	4	4275	7	3.699197846993682	3.302449276322618e-17	4	RNA splicing	['Transcript_190433.0', 'Transcript_219127.0', 'Transcript_2214.0', 'Transcript_8966.0']
GO:2001141	BP	11	11574	6	3.6766574524660225	6.805972607373896e-50	11	regulation of RNA biosynthetic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:1903506	BP	11	11574	7	3.6766574524660225	6.805972607373896e-50	11	regulation of nucleic acid-templated transcription	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0006355	BP	11	11574	6	3.6766574524660225	6.805972607373896e-50	11	regulation of transcription, DNA-templated	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:2000026	BP	9	9464	4	3.6757984992305355	8.143242856050812e-40	9	regulation of multicellular organismal development	['Transcript_102519.0', 'Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0009101	BP	4	4168	5	3.662628704611568	1.0300549682188531e-16	4	glycoprotein biosynthetic process	['Transcript_21124.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0009893	BP	10	10281	4	3.643254024686028	2.3502380254266375e-43	10	positive regulation of metabolic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_267416.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0009605	BP	3	3072	2	3.6374891423330595	2.3308300550925444e-12	3	response to external stimulus	['Transcript_133708.0', 'Transcript_142907.0', 'Transcript_8966.0']
GO:0010604	BP	10	10238	5	3.637207338437078	3.6902219395947e-43	10	positive regulation of macromolecule metabolic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_267416.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0006487	BP	3	3064	5	3.6337272235368605	3.4850414557655663e-12	3	protein N-linked glycosylation	['Transcript_277684.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0070085	BP	4	4067	2	3.6272384177951924	3.135855525385598e-16	4	glycosylation	['Transcript_21124.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0035295	BP	3	3050	3	3.6271201689495145	3.3706078835901336e-12	3	tube development	['Transcript_116851.0', 'Transcript_133708.0', 'Transcript_19653.0']
GO:0006486	BP	4	4065	4	3.6265287792954495	3.135855525385598e-16	4	protein glycosylation	['Transcript_21124.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0043413	BP	4	4065	3	3.6265287792954495	3.135855525385598e-16	4	macromolecule glycosylation	['Transcript_21124.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_8966.0']
GO:0031324	BP	7	7104	5	3.6245500866255616	6.026880645884518e-29	7	negative regulation of cellular metabolic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_198025.0', 'Transcript_268558.0', 'Transcript_291214.0', 'Transcript_8966.0']
GO:0000375	BP	4	4030	8	3.6140532657483893	4.526015051631155e-16	4	RNA splicing, via transesterification reactions	['Transcript_190433.0', 'Transcript_219127.0', 'Transcript_2214.0', 'Transcript_8966.0']
GO:0000377	BP	4	4030	9	3.6140532657483893	4.526015051631155e-16	4	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	['Transcript_190433.0', 'Transcript_219127.0', 'Transcript_2214.0', 'Transcript_8966.0']
GO:0000398	BP	4	4030	8	3.6140532657483893	4.526015051631155e-16	4	mRNA splicing, via spliceosome	['Transcript_190433.0', 'Transcript_219127.0', 'Transcript_2214.0', 'Transcript_8966.0']
GO:0031325	BP	10	10043	5	3.6094637160672165	6.173169241379677e-42	10	positive regulation of cellular metabolic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_267416.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0010628	BP	9	9035	6	3.6088730266427094	1.958435298055788e-37	9	positive regulation of gene expression	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0051173	BP	10	10019	5	3.606011946802075	1.0045188421949492e-41	10	positive regulation of nitrogen compound metabolic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_267416.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0009889	BP	12	11974	4	3.6001441965147056	4.4711897742734126e-51	12	regulation of biosynthetic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0010556	BP	12	11840	5	3.5839081021282158	2.8894350510742125e-50	12	regulation of macromolecule biosynthetic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0031326	BP	12	11840	5	3.5839081021282158	2.8894350510742125e-50	12	regulation of cellular biosynthetic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:2000112	BP	12	11840	6	3.5839081021282158	2.8894350510742125e-50	12	regulation of cellular macromolecule biosynthetic process	['Transcript_102519.0', 'Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_268558.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0051239	BP	10	9827	3	3.5780963879719794	9.96932046236036e-41	10	regulation of multicellular organismal process	['Transcript_102519.0', 'Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_67747.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0009891	BP	9	8783	5	3.5680622293076327	6.391636959859902e-36	9	positive regulation of biosynthetic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0010557	BP	9	8782	6	3.5678979600172886	6.391636959859902e-36	9	positive regulation of macromolecule biosynthetic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0031328	BP	9	8782	6	3.5678979600172886	6.391636959859902e-36	9	positive regulation of cellular biosynthetic process	['Transcript_102519.0', 'Transcript_133708.0', 'Transcript_207314.0', 'Transcript_233817.0', 'Transcript_277684.0', 'Transcript_285446.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0000904	BP	6	5730	4	3.53684606525617	1.4823751498946917e-22	6	cell morphogenesis involved in differentiation	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_22207.0', 'Transcript_8966.0']
GO:0000902	BP	6	5730	3	3.53684606525617	1.4823751498946917e-22	6	cell morphogenesis	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_22207.0', 'Transcript_8966.0']
GO:0051960	BP	8	7550	5	3.5197500714328633	2.4770588474767524e-30	8	regulation of nervous system development	['Transcript_102519.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_233817.0', 'Transcript_37075.0', 'Transcript_77714.0', 'Transcript_8966.0']
GO:0048513	BP	17	15868	3	3.503858983228001	2.0514574158160432e-69	17	animal organ development	['Transcript_101038.0', 'Transcript_102519.0', 'Transcript_116851.0', 'Transcript_11892.0', 'Transcript_133708.0', 'Transcript_19329.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_21585.0', 'Transcript_22207.0', 'Transcript_233817.0', 'Transcript_259687.0', 'Transcript_277684.0', 'Transcript_291214.0', 'Transcript_37075.0', 'Transcript_48093.0', 'Transcript_77714.0']
GO:0048667	BP	6	5599	5	3.5034801063248957	7.426203268766142e-22	6	cell morphogenesis involved in neuron differentiation	['Transcript_11892.0', 'Transcript_196303.0', 'Transcript_19653.0', 'Transcript_219127.0', 'Transcript_22207.0', 'Transcript_8966.0']
