go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0030239	BP	14	107	4	4.450641203679699	1.4675092917141953e-13	14	myofibril assembly	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_244324.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0060048	BP	13	101	6	4.426981503412538	1.5308892310202152e-12	13	cardiac muscle contraction	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0044344	BP	30	248	4	4.337447553244885	1.014505928876398e-27	30	cellular response to fibroblast growth factor stimulus	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0071774	BP	30	248	3	4.337447553244885	1.014505928876398e-27	30	response to fibroblast growth factor	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0008543	BP	30	248	6	4.337447553244885	1.014505928876398e-27	30	fibroblast growth factor receptor signaling pathway	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0030166	BP	9	83	6	4.1796388381186285	2.8670982322247246e-08	9	proteoglycan biosynthetic process	['Transcript_174870.0', 'Transcript_267521.0', 'Transcript_45039.0', 'Transcript_54648.0', 'Transcript_57345.0', 'Transcript_58309.0', 'Transcript_83717.0', 'Transcript_91097.0', 'Transcript_99813.0']
GO:0060896	BP	6	56	3	4.162360846686793	7.712496760147596e-06	6	neural plate pattern specification	['Transcript_189115.0', 'Transcript_233826.0', 'Transcript_244393.0', 'Transcript_31608.0', 'Transcript_58796.0', 'Transcript_62436.0']
GO:0060897	BP	6	56	4	4.162360846686793	7.712496760147596e-06	6	neural plate regionalization	['Transcript_189115.0', 'Transcript_233826.0', 'Transcript_244393.0', 'Transcript_31608.0', 'Transcript_58796.0', 'Transcript_62436.0']
GO:0010927	BP	14	134	3	4.1260189996230725	2.9983355135089384e-12	14	cellular component assembly involved in morphogenesis	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_244324.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0099537	BP	3	8094	4	4.012921364925027	5.211323285641672e-17	3	trans-synaptic signaling	['Transcript_165407.0', 'Transcript_31608.0', 'Transcript_36245.0']
GO:0099536	BP	3	8094	3	4.012921364925027	5.211323285641672e-17	3	synaptic signaling	['Transcript_165407.0', 'Transcript_31608.0', 'Transcript_36245.0']
GO:0098916	BP	3	8089	5	4.012029876890178	8.12255526973833e-17	3	anterograde trans-synaptic signaling	['Transcript_165407.0', 'Transcript_31608.0', 'Transcript_36245.0']
GO:0007268	BP	3	8089	6	4.012029876890178	8.12255526973833e-17	3	chemical synaptic transmission	['Transcript_165407.0', 'Transcript_31608.0', 'Transcript_36245.0']
GO:0009950	BP	5	55	4	3.925321649385944	0.00013147563883974487	5	dorsal/ventral axis specification	['Transcript_189115.0', 'Transcript_233826.0', 'Transcript_244393.0', 'Transcript_58796.0', 'Transcript_62436.0']
GO:0051960	BP	3	7550	5	3.9125451603554064	1.6420698077073556e-15	3	regulation of nervous system development	['Transcript_257167.0', 'Transcript_31608.0', 'Transcript_34277.0']
GO:0019219	BP	5	12254	5	3.8742837730667254	2.0890596635859552e-26	5	regulation of nucleobase-containing compound metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_98183.0']
GO:0019222	BP	6	14357	3	3.8397509297930585	2.562491676642705e-31	6	regulation of metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0031323	BP	6	13929	4	3.796088297543421	5.898535489092487e-30	6	regulation of cellular metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0060255	BP	6	13841	4	3.786944790985103	8.510928877808008e-30	6	regulation of macromolecule metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0007154	BP	4	9202	2	3.782978473080004	9.486682570395685e-19	4	cell communication	['Transcript_165407.0', 'Transcript_257948.0', 'Transcript_31608.0', 'Transcript_36245.0']
GO:0006941	BP	13	158	5	3.7814122379872304	3.48181879800816e-10	13	striated muscle contraction	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0080090	BP	6	13724	4	3.7746976418132574	1.4439303253643328e-29	6	regulation of primary metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0007267	BP	4	9139	2	3.7730673291903867	1.4397315142942004e-18	4	cell-cell signaling	['Transcript_165407.0', 'Transcript_257948.0', 'Transcript_31608.0', 'Transcript_36245.0']
GO:0051171	BP	6	13564	4	3.757779300281034	5.232461315521074e-29	6	regulation of nitrogen compound metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0031032	BP	14	176	4	3.732676571443548	1.0432514533815313e-10	14	actomyosin structure organization	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_244324.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0060319	BP	3	39	6	3.684313549882149	0.008893449825922644	3	primitive erythrocyte differentiation	['Transcript_192957.0', 'Transcript_244161.0', 'Transcript_254419.0']
GO:0006936	BP	13	176	4	3.625761367527036	1.2050111096717809e-09	13	muscle contraction	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0003012	BP	13	189	3	3.5229505619432606	2.8514869406881147e-09	13	muscle system process	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0044281	BP	3	5746	2	3.5186265087881266	8.255144166154024e-11	3	small molecule metabolic process	['Transcript_130021.0', 'Transcript_46586.0', 'Transcript_84481.0']
GO:0009056	BP	3	5689	2	3.5042435969503636	1.2201531640510407e-10	3	catabolic process	['Transcript_130021.0', 'Transcript_46586.0', 'Transcript_84481.0']
GO:0001501	BP	3	5534	4	3.4643911598655572	2.4821809796801305e-10	3	skeletal system development	['Transcript_112853.0', 'Transcript_225184.0', 'Transcript_257167.0']
GO:0045935	BP	5	8841	6	3.4033124829345534	1.1115583240472183e-16	5	positive regulation of nucleobase-containing compound metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_98183.0']
GO:0055017	BP	17	270	3	3.39540051222275	2.675380832753193e-11	17	cardiac muscle tissue growth	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0014855	BP	17	270	4	3.39540051222275	2.675380832753193e-11	17	striated muscle cell proliferation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0060038	BP	17	270	5	3.39540051222275	2.675380832753193e-11	17	cardiac muscle cell proliferation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0044248	BP	3	5269	3	3.3935976956290803	1.0831781849750362e-09	3	cellular catabolic process	['Transcript_130021.0', 'Transcript_46586.0', 'Transcript_84481.0']
GO:0060419	BP	17	272	3	3.3847532680232413	2.963879683273172e-11	17	heart growth	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0009893	BP	6	10281	4	3.3579772084959334	1.2225042707445823e-19	6	positive regulation of metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0010604	BP	6	10238	5	3.351930522246984	1.8815572066918663e-19	6	positive regulation of macromolecule metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0060232	BP	5	82	7	3.3491293582925197	0.0008431443574745178	5	delamination	['Transcript_189115.0', 'Transcript_233826.0', 'Transcript_244393.0', 'Transcript_58796.0', 'Transcript_62436.0']
GO:0031325	BP	6	10043	5	3.3241868998771222	7.40939420329246e-19	6	positive regulation of cellular metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0051173	BP	6	10019	5	3.3207351306119812	7.40939420329246e-19	6	positive regulation of nitrogen compound metabolic process	['Transcript_191098.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_31669.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:1901575	BP	3	4971	3	3.309604619198211	5.053530771360581e-09	3	organic substance catabolic process	['Transcript_130021.0', 'Transcript_46586.0', 'Transcript_84481.0']
GO:0060047	BP	18	309	5	3.283215241561179	2.1851423413722802e-11	18	heart contraction	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_230834.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_244324.0', 'Transcript_269791.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_43910.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0', 'Transcript_98532.0']
GO:0033002	BP	17	303	3	3.2290421258006297	1.3897623845787715e-10	17	muscle cell proliferation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0003015	BP	18	322	4	3.2237613913509366	4.126301981635369e-11	18	heart process	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_230834.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_244324.0', 'Transcript_269791.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_43910.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0', 'Transcript_98532.0']
GO:0051301	BP	31	557	2	3.217416061070084	1.0268028654813622e-18	31	cell division	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0', 'Transcript_98183.0']
GO:0006811	BP	5	7648	4	3.194185445070145	1.2768684652302607e-13	5	ion transport	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0']
GO:0035265	BP	18	344	2	3.1284135147634555	1.1192177699999246e-10	18	organ growth	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_20276.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0065008	BP	7	9611	2	3.0383626421238596	7.199964711463117e-17	7	regulation of biological quality	['Transcript_192957.0', 'Transcript_244161.0', 'Transcript_254419.0', 'Transcript_274841.0', 'Transcript_36245.0', 'Transcript_46586.0', 'Transcript_84481.0']
GO:0046483	BP	8	10080	3	2.914454750364038	2.9980683171428824e-17	8	heterocycle metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0018130	BP	3	3777	4	2.9133092996957757	2.5087196185013093e-06	3	heterocycle biosynthetic process	['Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0']
GO:0006139	BP	8	10060	3	2.9115894166696488	4.6607456279934655e-17	8	nucleobase-containing compound metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0034654	BP	3	3763	4	2.9079518053234845	3.5537213186900265e-06	3	nucleobase-containing compound biosynthetic process	['Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0']
GO:0042592	BP	4	4986	3	2.8989138994682597	3.138187176585668e-08	4	homeostatic process	['Transcript_192957.0', 'Transcript_244161.0', 'Transcript_254419.0', 'Transcript_274841.0']
GO:0030201	BP	9	206	6	2.8681777422823354	3.2644618484595794e-05	9	heparan sulfate proteoglycan metabolic process	['Transcript_174870.0', 'Transcript_267521.0', 'Transcript_45039.0', 'Transcript_54648.0', 'Transcript_57345.0', 'Transcript_58309.0', 'Transcript_83717.0', 'Transcript_91097.0', 'Transcript_99813.0']
GO:0006812	BP	5	5642	5	2.7553095876749683	7.829973700995053e-09	5	cation transport	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0']
GO:0006793	BP	4	4511	3	2.7544783026961124	5.227603113027861e-07	4	phosphorus metabolic process	['Transcript_20276.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_258684.0']
GO:0006796	BP	4	4499	4	2.750635383555805	5.135921580637547e-07	4	phosphate-containing compound metabolic process	['Transcript_20276.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_258684.0']
GO:0042551	BP	16	399	4	2.7445083318008954	4.7119339387841754e-08	16	neuron maturation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:1901360	BP	10	11198	3	2.7442721018023892	2.538479904552019e-18	10	organic cyclic compound metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0', 'Transcript_98183.0']
GO:0048738	BP	21	524	6	2.743647689264551	2.623630079857665e-10	21	cardiac muscle tissue development	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_230834.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_269791.0', 'Transcript_30189.0', 'Transcript_43910.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0', 'Transcript_98532.0']
GO:0032879	BP	6	6679	3	2.7357006301383016	1.9194233030661057e-10	6	regulation of localization	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0', 'Transcript_34277.0']
GO:0048732	BP	4	4449	4	2.7345121151525453	4.99196721064201e-07	4	gland development	['Transcript_191098.0', 'Transcript_233853.0', 'Transcript_234849.0', 'Transcript_235310.0']
